32
0	1643	1549	1664	1497	1238	1442	1657	1740	1537	1802	1487	1456	1068	1623	1827	1985	1477	1655	1388	1914	1793	1886	1820	1370	1202	1462	1688	1757	2020	1272	1737	
1643	0	1861	1312	1632	1503	1851	1132	1349	1534	1145	1800	1577	1076	1341	2016	1306	1467	1258	1846	1328	1612	1782	1250	1605	1842	1856	1618	1504	2033	1982	1413	
1549	1861	0	1166	1229	1963	1155	1255	1165	1401	1324	1689	1991	1224	1189	1257	1529	1404	1511	1896	1945	1693	1431	1360	1867	1289	1971	1799	2031	1423	1732	1941	
1664	1312	1166	0	1496	1116	1843	1406	1252	1174	1282	1156	1372	1135	1185	1293	1182	1989	1979	1196	1408	1821	1759	1198	1338	1932	1967	1494	1942	1650	1631	1581	
1497	1632	1229	1496	0	1451	1956	1059	1634	1111	1812	1398	1716	1818	1253	1208	1680	1222	1025	1909	1395	1561	1205	1129	1575	1261	1269	1225	1337	1993	1669	1097	
1238	1503	1963	1116	1451	0	1994	1609	1921	1088	1181	1816	1819	1866	1888	1029	1927	1955	1061	1351	1745	1204	1984	1287	1274	1363	1804	1418	1180	1863	1797	1169	
1442	1851	1155	1843	1956	1994	0	1659	1331	2035	1548	1271	1381	1524	1919	1730	1075	1998	1241	1300	1934	2000	1727	1606	1136	1463	1829	1409	1570	1137	1806	1143	
1657	1132	1255	1406	1059	1609	1659	0	1164	1550	1309	1683	2013	1377	1090	1579	1276	1495	1051	1542	2012	1191	1318	1562	1885	2042	1207	1479	1295	1619	1223	1214	
1740	1349	1165	1252	1634	1921	1331	1164	0	1484	1115	1054	1171	1052	1988	1515	1926	1032	1899	1640	1212	1661	1532	1719	1822	1522	1764	1916	1134	1316	1887	1784	
1537	1534	1401	1174	1111	1088	2035	1550	1484	0	1778	1449	1083	1840	1270	1139	1412	1852	1354	1378	1925	1459	1177	1965	1267	1836	1589	1908	1710	1531	1446	1063	
1802	1145	1324	1282	1812	1181	1548	1309	1115	1778	0	1600	1466	1173	1046	1741	1325	1566	1113	1776	1938	1304	1915	1883	1361	1219	1853	1507	1585	1895	1845	1765	
1487	1800	1689	1156	1398	1816	1271	1683	1054	1449	1600	0	1326	1868	1346	1432	1586	1407	1817	1498	2032	1101	1120	1217	1569	1807	1935	1541	1667	1302	1725	1319	
1456	1577	1991	1372	1716	1819	1381	2013	1171	1083	1466	1326	0	1391	1365	1247	1414	1894	1665	1553	1105	1543	1265	1860	1656	1697	1322	1692	1230	1218	1558	1594	
1068	1076	1224	1135	1818	1866	1524	1377	1052	1840	1173	1868	1391	0	1774	1578	1980	1066	1622	1565	1294	1559	1691	1242	1930	1731	1786	1387	1987	1962	1978	1379	
1623	1341	1189	1185	1253	1888	1919	1090	1988	1270	1046	1346	1365	1774	0	1771	1928	1410	1696	1791	1099	1483	1878	1153	1285	2026	2045	1427	1308	1913	2018	1263	
1827	2016	1257	1293	1208	1029	1730	1579	1515	1139	1741	1432	1247	1578	1771	0	1777	1750	1417	1862	1654	1891	1564	1790	1555	1715	1837	1149	1248	1178	1773	1342	
1985	1306	1529	1182	1680	1927	1075	1276	1926	1412	1325	1586	1414	1980	1928	1777	0	1763	1723	1299	1709	1399	1041	1340	1699	1251	1948	1960	1753	1901	1673	1405	
1477	1467	1404	1989	1222	1955	1998	1495	1032	1852	1566	1407	1894	1066	1410	1750	1763	0	1587	1426	1454	1841	1595	1792	1144	1796	1303	1158	1216	1563	1501	1448	
1655	1258	1511	1979	1025	1061	1241	1051	1899	1354	1113	1817	1665	1622	1696	1417	1723	1587	0	1917	1568	2005	1505	1123	1959	2044	1513	1188	1676	1249	1065	1601	
1388	1846	1896	1196	1909	1351	1300	1542	1640	1378	1776	1498	1553	1565	1791	1862	1299	1426	1917	0	1273	1628	1672	1518	1648	1374	2002	1813	1712	1193	1383	1151	
1914	1328	1945	1408	1395	1745	1934	2012	1212	1925	1938	2032	1105	1294	1099	1654	1709	1454	1568	1273	0	1726	1183	1195	1766	1970	1332	1491	1652	1573	1384	1808	
1793	1612	1693	1821	1561	1204	2000	1191	1661	1459	1304	1101	1543	1559	1483	1891	1399	1841	2005	1628	1726	0	1698	1717	1033	1430	1044	1146	1940	2024	1394	1292	
1886	1782	1431	1759	1205	1984	1727	1318	1532	1177	1915	1120	1265	1691	1878	1564	1041	1595	1505	1672	1183	1698	0	1170	1937	1809	1636	1084	1835	1298	1437	1803	
1820	1250	1360	1198	1129	1287	1606	1562	1719	1965	1883	1217	1860	1242	1153	1790	1340	1792	1123	1518	1195	1717	1170	0	1457	2010	1403	1231	1920	2036	1641	1761	
1370	1605	1867	1338	1575	1274	1136	1885	1822	1267	1361	1569	1656	1930	1285	1555	1699	1144	1959	1648	1766	1033	1937	1457	0	1031	1220	1469	1243	1452	1154	1647	
1202	1842	1289	1932	1261	1363	1463	2042	1522	1836	1219	1807	1697	1731	2026	1715	1251	1796	2044	1374	1970	1430	1809	2010	1031	0	1950	1855	1540	1215	1649	1050	
